,Date,Open,High,Low,Close,SMA50,SMA100,SMA200,Vol,daily_change,3m_change,6m_change,1y_change,3m_target,6m_target,1y_target,all_target,above_sma50,above_sma100,above_sma200,pos_volatility,vol_class,pos_out,neg_out,pos_out_aboveSMA50,pos_out_aboveSMA100,pos_out_aboveSMA200,neg_out_aboveSMA50,neg_out_aboveSMA100,neg_out_aboveSMA200
0,2016-01-07,746.48999023438,755.3099975585901,735.28002929688,741.0,762.5788000488284,712.6091979980469,645.0699493408205,3156600,-1.3617000000000001,3.6999999999999997,-4.9,9.0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
1,2016-01-08,747.79998779297,750.1199951171901,728.9199829101599,730.90997314453,762.5405993652347,712.9771978759766,645.8894992065431,2375300,0.29550000000000004,4.0,-3.0,10.5,1,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0
2,2016-01-11,731.95001220703,735.0800170898401,719.5599975585901,733.07000732422,762.4635998535159,713.4205981445313,646.736649169922,2544800,1.6738,3.3000000000000003,-0.8,10.9,1,0,1,0,0,1,1,0,3,1,0,0,1,1,0,0,0
3,2016-01-12,740.75,748.34002685547,736.42999267578,745.34002685547,762.4734008789065,713.9335986328126,647.6755993652346,2340800,-3.4575,1.6,-2.4,10.7,1,0,1,0,0,1,1,1,3,0,1,0,0,0,0,1,1
4,2016-01-13,749.34002685547,753.0,716.78002929688,719.57000732422,762.1170007324222,714.3344989013673,648.4677493286134,2586400,1.6426,6.2,1.0999999999999999,15.0,1,1,1,1,0,1,1,0,3,1,0,0,1,1,0,0,0
5,2016-01-14,724.4400024414099,739.8900146484401,705.0,731.3900146484401,761.7900012207032,715.2080987548829,649.3511993408205,2777900,-2.8576,5.5,0.2,13.100000000000001,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1
6,2016-01-15,709.98999023438,724.15997314453,701.51000976562,710.48999023438,761.0234008789064,716.1318988037111,650.1561993408204,3833800,1.209,9.1,2.7,16.400000000000002,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
7,2016-01-19,720.1500244140599,725.3499755859401,709.8499755859401,719.0800170898401,760.2988012695313,717.1979992675783,651.0450494384767,2436200,-0.0723,9.5,4.7,15.6,1,1,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0
8,2016-01-20,705.9000244140599,726.95001220703,687.78002929688,718.5599975585901,759.4566015625,717.7861993408204,651.9180993652345,4122000,1.1285999999999998,8.0,4.8,15.2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
9,2016-01-21,720.1699829101599,737.6699829101599,711.1099853515599,726.6699829101599,758.7580017089844,718.3732989501955,652.8271493530276,2596900,2.5858,6.6000000000000005,3.6999999999999997,13.900000000000002,1,1,1,1,0,1,1,1,3,1,0,0,1,1,0,0,0
10,2016-01-22,742.0,748.5599975585901,740.5,745.4600219726599,758.5718017578125,719.230999145508,653.8102493286135,2357300,-1.5883,4.6,1.6,11.0,1,1,1,1,0,1,1,1,3,0,0,0,0,0,0,0,0
11,2016-01-25,743.84002685547,752.4600219726599,732.5,733.6199951171901,758.079001464844,720.0889990234376,654.7382492065431,2267000,0.0232,1.2,3.3000000000000003,12.4,1,1,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0
12,2016-01-26,735.2100219726599,739.4600219726599,726.96997070312,733.7899780273401,757.4498010253906,721.1312988281252,655.6644992065432,1547000,-2.2091,1.0999999999999999,3.2,12.9,1,1,1,1,0,1,1,0,3,0,1,0,0,0,0,1,1
13,2016-01-27,735.8900146484401,735.8900146484401,713.45001220703,717.5800170898401,756.67080078125,721.8579992675783,656.5091992187502,2121400,4.2811,1.0999999999999999,5.6000000000000005,17.7,1,1,1,1,0,0,1,0,3,1,0,0,0,1,0,0,0
14,2016-01-28,738.1900024414099,751.15997314453,730.5999755859401,748.29998779297,756.835400390625,722.9704992675784,657.5517990112306,3105200,1.744,-3.5999999999999996,1.2,12.8,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0
15,2016-01-29,748.9600219726599,765.1099853515599,744.20001220703,761.3499755859401,757.0540002441406,724.294398803711,658.6533489990236,3790400,1.2373,-7.3999999999999995,0.1,10.9,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
16,2016-02-01,771.26000976562,777.59002685547,761.3800048828099,770.77001953125,757.5498010253906,725.5632989501954,659.7895989990236,5576100,1.3155999999999999,-7.3,3.9,11.200000000000001,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
17,2016-02-02,800.5,810.3499755859401,780.5999755859401,780.90997314453,757.9678002929687,726.9382989501954,661.0304489135743,6792300,-4.0376,-8.5,2.6,8.200000000000001,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1
18,2016-02-03,786.28002929688,791.42999267578,736.26000976562,749.3800048828099,757.7566003417969,727.9212988281251,662.0546987915039,6555700,-2.5821,-5.5,6.9,9.9,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1
19,2016-02-04,744.59002685547,745.23999023438,722.5999755859401,730.03002929688,756.8172009277346,728.6685992431642,662.9902490234375,5246100,-3.5985000000000005,-2.6,9.6,12.8,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1
20,2016-02-05,725.5,726.71997070312,700.1400146484401,703.76000976562,755.3584008789064,729.1814996337893,663.7631491088868,5477800,0.0568,1.6,13.5,17.1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
21,2016-02-08,687.67999267578,704.52001953125,682.01000976562,704.15997314453,754.0490002441409,729.5723992919924,664.4966488647462,4470500,-0.4459,3.5000000000000004,14.399999999999999,16.2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
22,2016-02-09,692.95001220703,720.9600219726599,688.5,701.02001953125,752.6842004394534,729.9273992919923,665.1334490966797,4215000,0.8316,4.0,14.899999999999999,17.0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
23,2016-02-10,711.7899780273401,723.21997070312,705.3900146484401,706.8499755859401,751.3818005371098,730.2791992187501,665.8370989990234,3015700,-0.0693,4.6,13.900000000000002,16.2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
24,2016-02-11,696.34002685547,712.32000732422,691.1900024414099,706.3599853515599,750.2520007324223,730.7335992431642,666.5470489501953,3250200,0.075,3.4000000000000004,14.299999999999999,16.3,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
25,2016-02-12,712.2100219726599,716.0,701.5800170898401,706.8900146484401,748.714001464844,731.1326995849611,667.2745489501954,2326900,1.5207,3.0,14.399999999999999,16.2,1,1,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0
26,2016-02-16,718.6500244140599,722.8800048828099,710.17999267578,717.6400146484401,747.5098022460941,731.7770996093751,668.1188989257814,2172200,1.9968,1.7999999999999998,12.3,16.3,1,1,1,1,0,0,1,0,3,1,0,0,0,1,0,0,0
27,2016-02-17,727.0,733.76000976562,716.6099853515599,731.96997070312,746.7852014160158,732.5638995361329,669.0229489135742,2457700,-1.9755000000000003,-1.6,10.100000000000001,14.6,0,1,1,0,0,0,1,0,3,0,1,0,0,0,0,0,1
28,2016-02-18,733.9600219726599,736.0,715.54998779297,717.51000976562,745.551201171875,733.189899902344,669.8462988281251,2363800,0.6411,0.6,11.700000000000001,16.900000000000002,1,1,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0
29,2016-02-19,715.9000244140599,724.03002929688,713.1199951171901,722.1099853515599,744.5336010742187,734.009499511719,670.7416488647461,1745900,0.9611,-0.8999999999999999,11.5,16.2,0,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0
30,2016-02-22,729.51000976562,734.8499755859401,723.45001220703,729.04998779297,743.6118005371093,735.0574993896487,671.7114987182619,1875800,-1.6131,-1.6,9.3,15.5,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0
31,2016-02-23,726.0999755859401,730.9000244140599,715.6699829101599,717.2899780273401,742.7066003417966,736.0042993164066,672.5877487182619,2066600,0.5033,-0.0,11.1,18.0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0
32,2016-02-24,710.6099853515599,721.21997070312,702.02001953125,720.9000244140599,741.9238012695313,736.8295996093752,673.447498779297,1854600,1.1402,1.7000000000000002,10.5,17.8,1,1,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0
33,2016-02-25,722.92999267578,729.51000976562,713.22998046875,729.1199951171901,741.4978015136719,737.7007995605474,674.3641986083986,1807300,-0.5843,1.2,9.3,16.5,1,1,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0
34,2016-02-26,733.5999755859401,736.15997314453,721.9400024414099,724.8599853515599,740.7442016601566,738.379499511719,675.2948486328127,2123700,-1.054,1.7000000000000002,9.5,17.2,1,1,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0
35,2016-02-29,721.0,730.5999755859401,716.84002685547,717.21997070312,739.8868005371095,738.8348992919924,676.1834985351564,2253400,3.4787,4.3999999999999995,11.0,18.7,1,1,1,1,0,0,1,1,3,1,0,0,0,1,0,0,0
36,2016-03-01,721.29998779297,742.3300170898401,718.6400146484401,742.1699829101599,739.1983996582031,739.5401989746097,677.148348388672,3005600,-0.36250000000000004,0.8999999999999999,7.199999999999999,14.2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
37,2016-03-02,742.8699951171901,743.1199951171901,733.25,739.47998046875,738.5913989257813,740.2349987792971,678.1132983398439,1814600,-1.0670000000000002,1.3,7.6,14.899999999999999,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0
38,2016-03-03,739.47998046875,741.0,729.6300048828099,731.59002685547,738.0861999511719,740.8808990478518,679.0378985595704,2026700,-0.18730000000000002,2.3,8.200000000000001,16.1,1,1,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0
39,2016-03-04,734.79998779297,735.0,725.6199951171901,730.21997070312,737.4745996093749,741.470698852539,679.9425982666017,2425800,-2.3855999999999997,1.9,8.200000000000001,16.400000000000002,1,1,1,1,0,0,1,0,3,0,1,0,0,0,0,0,1
40,2016-03-07,725.1500244140599,727.2100219726599,705.1400146484401,712.79998779297,736.3879992675779,741.8343988037111,680.7440481567385,3084500,0.10239999999999999,2.4,13.4,19.2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
41,2016-03-08,708.3900146484401,722.25,704.0,713.53002929688,735.2883996582032,742.1379992675783,681.5276483154298,2626500,1.6650000000000003,2.3,13.200000000000001,19.0,1,1,1,1,0,0,1,1,3,1,0,0,0,1,0,0,0
42,2016-03-09,715.1699829101599,726.23999023438,712.65997314453,725.40997314453,734.4797985839843,742.5879992675783,682.3820980834962,1977200,0.9319,0.8,11.4,16.8,1,1,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0
