Date,Open,High,Low,Close,Adj Close,Volume
2008-05-22,25.290001,25.309999,25.260000,25.290001,23.387789,367600
2008-05-23,25.330000,25.379999,25.250000,25.290001,23.387789,98800
2008-05-27,25.379999,25.379999,25.240000,25.260000,23.360046,188500
2008-05-28,25.230000,25.230000,25.120001,25.209999,23.313805,34800
2008-05-29,25.299999,25.299999,25.180000,25.270000,23.369293,60500
2008-05-30,25.320000,25.320000,25.200001,25.250000,23.350796,45800
2008-06-02,25.379999,25.379999,25.280001,25.320000,23.415533,93600
2008-06-03,25.379999,25.400000,25.290001,25.330000,23.424776,207300
2008-06-04,25.299999,25.379999,25.260000,25.379999,23.471016,85500
2008-06-05,25.270000,25.330000,25.250000,25.290001,23.387789,193600
2008-06-06,25.330000,25.389999,25.270000,25.360001,23.452522,161800
2008-06-09,25.330000,25.420000,25.290001,25.340000,23.434027,572200
2008-06-10,25.309999,25.549999,25.299999,25.389999,23.480267,293300
2008-06-11,25.450001,25.450001,25.299999,25.340000,23.434027,136100
2008-06-12,25.379999,25.549999,25.340000,25.379999,23.471016,197400
2008-06-13,25.400000,25.459999,25.309999,25.360001,23.452522,231600
2008-06-16,25.340000,25.510000,25.340000,25.400000,23.489513,361100
2008-06-17,25.540001,25.549999,25.440001,25.459999,23.545000,260500
2008-06-18,25.530001,25.530001,25.450001,25.459999,23.545000,389500
2008-06-19,25.490000,25.500000,25.420000,25.490000,23.572742,180900
2008-06-20,25.520000,25.570000,25.500000,25.549999,23.628233,341200
2008-06-23,25.719999,25.719999,25.480000,25.590000,23.665224,829100
2008-06-24,25.600000,25.600000,25.459999,25.520000,23.600489,269800
2008-06-25,25.580000,25.580000,25.480000,25.530001,23.609737,103000
2008-06-26,25.549999,25.580000,25.510000,25.530001,23.609737,135800
2008-06-27,25.530001,25.600000,25.500000,25.549999,23.628233,438800
2008-06-30,25.660000,25.740000,25.530001,25.540001,23.618984,550500
2008-07-01,25.600000,25.600000,25.520000,25.559999,23.637480,308000
2008-07-02,25.580000,25.580000,25.459999,25.500000,23.581993,169300
2008-07-03,25.549999,25.639999,25.510000,25.600000,23.674471,368300
2008-07-07,25.629999,25.629999,25.510000,25.559999,23.637480,192400
2008-07-08,25.610001,25.610001,25.450001,25.520000,23.600489,107400
2008-07-09,25.540001,25.549999,25.469999,25.549999,23.628233,82700
2008-07-10,25.639999,25.639999,25.559999,25.570000,23.646727,288500
2008-07-11,25.690001,25.690001,25.559999,25.620001,23.692968,393400
2008-07-14,25.620001,25.650000,25.559999,25.620001,23.692968,346400
2008-07-15,25.709999,25.709999,25.629999,25.670000,23.739208,292700
2008-07-16,25.730000,25.730000,25.590000,25.660000,23.729959,193700
2008-07-17,25.600000,25.660000,25.600000,25.629999,23.702213,149900
2008-07-18,25.690001,25.690001,25.610001,25.670000,23.739208,79900
2008-07-21,25.639999,25.680000,25.629999,25.639999,23.711462,213200
2008-07-22,25.670000,25.670000,25.600000,25.610001,23.683720,103200
2008-07-23,25.610001,25.610001,25.420000,25.500000,23.581993,243600
2008-07-24,25.549999,25.580000,25.430000,25.450001,23.535753,144700
2008-07-25,25.469999,25.520000,25.459999,25.469999,23.554249,95500
2008-07-28,25.580000,25.580000,25.459999,25.500000,23.581993,265300
2008-07-29,25.530001,25.540001,25.450001,25.500000,23.581993,46100
2008-07-30,25.500000,25.500000,25.320000,25.360001,23.452522,214200
2008-07-31,25.340000,25.430000,25.340000,25.430000,23.517258,50500
2008-08-01,25.500000,25.530001,25.330000,25.480000,23.563498,102500
2008-08-04,25.410000,25.420000,25.350000,25.360001,23.452522,36200
2008-08-05,25.330000,25.330000,25.200001,25.209999,23.313805,166400
2008-08-06,25.250000,25.330000,25.219999,25.299999,23.397036,48800
2008-08-07,25.299999,25.360001,25.270000,25.320000,23.415533,86400
2008-08-08,25.250000,25.330000,25.209999,25.209999,23.313805,69300
2008-08-11,25.200001,25.309999,25.110001,25.230000,23.332302,387000
2008-08-12,25.270000,25.290001,25.160000,25.219999,23.323051,45700
2008-08-13,25.250000,25.340000,25.219999,25.330000,23.424776,53300
2008-08-14,25.350000,25.350000,25.200001,25.260000,23.360046,55300
2008-08-15,25.209999,25.209999,25.139999,25.170000,23.276812,51100
2008-08-18,25.030001,25.200001,25.010000,25.170000,23.276812,93500
2008-08-19,25.150000,25.260000,25.150000,25.209999,23.313805,43400
2008-08-20,25.379999,25.379999,25.250000,25.280001,23.378544,102300
2008-08-21,25.350000,25.420000,25.280001,25.370001,23.461771,26000
2008-08-22,25.299999,25.450001,25.299999,25.450001,23.535753,27800
2008-08-25,25.450001,25.450001,25.309999,25.400000,23.489513,36000
2008-08-26,25.330000,25.370001,25.299999,25.360001,23.452522,13600
2008-08-27,25.360001,25.440001,25.360001,25.389999,23.480267,17000
2008-08-28,25.480000,25.480000,25.379999,25.440001,23.526506,28500
2008-08-29,25.469999,25.469999,25.370001,25.389999,23.480267,17400
2008-09-02,25.370001,25.410000,25.350000,25.350000,23.443275,11400
2008-09-03,25.350000,25.400000,25.230000,25.309999,23.406284,128100
2008-09-04,25.370001,25.400000,25.260000,25.280001,23.378544,71700
2008-09-05,25.309999,25.309999,25.219999,25.280001,23.378544,228100
2008-09-08,25.170000,25.309999,25.170000,25.299999,23.397036,124800
2008-09-09,25.340000,25.440001,25.270000,25.389999,23.480267,350500
2008-09-10,25.290001,25.410000,25.290001,25.320000,23.415533,37800
2008-09-11,25.299999,25.340000,25.280001,25.299999,23.397036,49000
2008-09-12,25.250000,25.450001,25.250000,25.410000,23.498760,19200
2008-09-15,25.260000,25.400000,25.219999,25.250000,23.350796,81500
2008-09-16,25.170000,25.330000,25.170000,25.230000,23.332302,167000
2008-09-17,25.110001,25.350000,25.110001,25.260000,23.360046,148800
2008-09-18,25.160000,25.430000,25.100000,25.100000,23.212080,131900
2008-09-19,25.160000,25.330000,25.070000,25.190001,23.295311,148900
2008-09-22,25.350000,25.400000,25.250000,25.370001,23.461771,163500
2008-09-23,25.430000,25.440001,25.330000,25.350000,23.443275,89600
2008-09-24,25.350000,25.440001,25.350000,25.420000,23.508009,39500
2008-09-25,25.440001,25.440001,25.309999,25.340000,23.434027,36600
2008-09-26,25.290001,25.430000,25.290001,25.320000,23.415533,26100
2008-09-29,25.440001,25.440001,25.100000,25.219999,23.323051,91500
2008-09-30,25.150000,25.299999,25.110001,25.160000,23.267567,166700
2008-10-01,25.160000,25.180000,25.049999,25.160000,23.267567,66900
