Date,Open,High,Low,Close,Adj Close,Volume
2006-06-26,136.479996,137.000000,136.300003,136.750000,124.472229,26700
2006-06-27,136.419998,136.419998,136.080002,136.080002,123.862366,34200
2006-06-28,136.279999,136.279999,136.279999,136.279999,124.044472,100
2006-06-29,135.940002,137.600006,135.940002,137.600006,125.245880,2000
2006-06-30,138.410004,139.139999,138.410004,139.139999,126.647697,2700
2006-07-03,138.809998,138.809998,138.809998,138.809998,126.411804,300
2006-07-05,138.809998,138.809998,138.809998,138.809998,126.411804,0
2006-07-06,139.089996,139.610001,139.089996,139.500000,127.040115,1700
2006-07-07,140.320007,140.320007,140.320007,140.320007,127.786911,300
2006-07-10,138.770004,139.020004,138.770004,139.020004,126.603004,2800
2006-07-11,138.899994,138.899994,138.899994,138.899994,126.493767,4000
2006-07-12,138.580002,138.600006,138.580002,138.600006,126.220558,200
2006-07-13,138.770004,138.770004,138.770004,138.770004,126.375320,100
2006-07-14,137.610001,137.610001,137.529999,137.529999,125.246040,600
2006-07-17,135.750000,135.869995,135.729996,135.869995,123.734383,4100
2006-07-18,135.449997,135.449997,135.029999,135.229996,123.151520,700
2006-07-19,135.229996,135.229996,135.229996,135.229996,123.151520,0
2006-07-20,137.080002,137.160004,137.080002,137.160004,124.909096,200
2006-07-21,137.160004,137.160004,137.160004,137.160004,124.909096,0
2006-07-24,136.750000,136.750000,136.589996,136.589996,124.390038,500
2006-07-25,136.600006,136.600006,136.110001,136.169998,124.007568,900
2006-07-26,136.580002,136.990005,136.580002,136.990005,124.754395,400
2006-07-27,138.449997,138.449997,137.740005,137.740005,125.437294,900
2006-07-28,138.220001,138.429993,138.220001,138.429993,126.065720,200
2006-07-31,138.429993,138.429993,138.429993,138.429993,126.065720,0
2006-08-01,138.429993,138.429993,138.429993,138.429993,126.234413,0
2006-08-02,138.429993,138.429993,138.429993,138.429993,126.234413,0
2006-08-03,139.259995,139.339996,139.259995,139.339996,127.064278,200
2006-08-04,140.179993,140.179993,140.070007,140.070007,127.729881,300
2006-08-07,140.220001,140.220001,140.009995,140.009995,127.675186,2200
2006-08-08,139.910004,139.910004,139.910004,139.910004,127.584076,100
2006-08-09,140.500000,140.500000,140.500000,140.500000,128.122086,2200
2006-08-10,139.699997,139.699997,138.889999,139.179993,126.918335,1300
2006-08-11,139.179993,139.179993,139.179993,139.179993,126.918335,0
2006-08-14,138.059998,138.070007,138.059998,138.070007,125.906113,300
2006-08-15,138.820007,138.979996,138.820007,138.910004,126.672112,4400
2006-08-16,140.020004,140.020004,140.020004,140.020004,127.684326,100
2006-08-17,140.130005,140.130005,139.960007,139.960007,127.629623,200
2006-08-18,139.259995,139.449997,139.259995,139.449997,127.164574,300
2006-08-21,140.580002,140.580002,140.529999,140.529999,128.149414,400
2006-08-22,139.350006,139.350006,139.350006,139.350006,127.073395,100
2006-08-23,139.460007,139.470001,139.460007,139.470001,127.182877,200
2006-08-24,139.470001,139.470001,139.470001,139.470001,127.182877,0
2006-08-25,137.990005,137.990005,137.990005,137.990005,125.833191,100
2006-08-28,138.279999,138.279999,138.279999,138.279999,126.097656,100
2006-08-29,138.759995,138.759995,138.479996,138.479996,126.280022,2200
2006-08-30,138.850006,139.000000,138.850006,139.000000,126.754242,200
2006-08-31,138.600006,138.600006,138.110001,138.119995,125.951683,3500
2006-09-01,137.779999,137.779999,137.720001,137.720001,125.748085,300
2006-09-05,137.720001,137.720001,137.720001,137.720001,125.748085,0
2006-09-06,137.720001,137.720001,137.720001,137.720001,125.748085,0
2006-09-07,136.089996,136.500000,136.089996,136.350006,124.497185,500
2006-09-08,136.050003,136.110001,135.979996,136.110001,124.278069,2900
2006-09-11,136.910004,136.910004,136.910004,136.910004,125.008568,100
2006-09-12,137.389999,137.389999,137.389999,137.389999,125.446884,1000
2006-09-13,137.289993,137.289993,137.289993,137.289993,125.355537,1000
2006-09-14,138.070007,138.070007,138.070007,138.070007,126.067688,100
2006-09-15,138.630005,138.869995,137.479996,137.619995,125.656815,2600
2006-09-18,137.929993,137.929993,137.929993,137.929993,125.939835,300
2006-09-19,138.449997,138.449997,138.449997,138.449997,126.414711,100
2006-09-20,138.449997,138.449997,138.449997,138.449997,126.414711,0
2006-09-21,137.839996,138.600006,137.839996,138.600006,126.551620,600
2006-09-22,138.229996,138.229996,138.229996,138.229996,126.213753,100
2006-09-25,137.199997,137.199997,137.130005,137.130005,125.209404,2400
2006-09-26,136.600006,136.630005,136.429993,136.490005,124.625069,8100
2006-09-27,137.009995,137.130005,136.929993,136.929993,125.026817,400
2006-09-28,137.419998,137.539993,137.399994,137.539993,125.583778,1600
2006-09-29,136.699997,136.699997,136.699997,136.699997,124.816750,200
2006-10-02,136.149994,136.440002,136.149994,136.440002,124.754631,400
2006-10-03,136.440002,136.440002,136.440002,136.440002,124.754631,0
2006-10-04,136.000000,136.000000,136.000000,136.000000,124.352303,100
2006-10-05,136.889999,137.050003,136.889999,137.050003,125.312416,1000
2006-10-06,135.759995,135.990005,135.699997,135.699997,124.077972,400
2006-10-09,135.710007,135.710007,135.369995,135.380005,123.785385,600
2006-10-10,135.309998,135.309998,135.210007,135.210007,123.629959,1300
2006-10-11,135.399994,135.399994,135.399994,135.399994,123.803665,100
2006-10-12,135.399994,135.399994,135.399994,135.399994,123.803665,0
2006-10-13,135.399994,135.399994,135.399994,135.399994,123.803665,0
2006-10-16,135.050003,135.050003,135.050003,135.050003,123.483650,100
2006-10-17,135.570007,135.750000,135.570007,135.750000,124.123749,600
2006-10-18,135.750000,135.750000,135.750000,135.750000,124.123749,0
2006-10-19,135.750000,135.750000,135.750000,135.750000,124.123749,0
2006-10-20,135.750000,135.750000,135.750000,135.750000,124.123749,0
2006-10-23,136.410004,136.410004,136.410004,136.410004,124.727196,100
2006-10-24,136.410004,136.410004,136.410004,136.410004,124.727196,0
2006-10-25,136.970001,136.970001,136.809998,136.929993,125.202698,2300
2006-10-26,137.250000,137.250000,137.250000,137.250000,125.495239,100
2006-10-27,138.449997,138.449997,138.449997,138.449997,126.592476,1000
2006-10-30,138.190002,138.279999,138.190002,138.279999,126.436989,200
2006-10-31,138.630005,138.660004,138.630005,138.660004,126.784470,600
2006-11-01,138.960007,138.979996,138.960007,138.979996,127.256958,200
2006-11-02,138.850006,139.009995,138.770004,139.009995,127.284393,700
2006-11-03,138.410004,138.410004,138.410004,138.410004,126.735023,100
2006-11-06,139.070007,139.070007,139.070007,139.070007,127.339333,100
2006-11-07,139.990005,140.169998,139.949997,139.990005,128.181747,1400
2006-11-08,140.020004,140.149994,140.020004,140.110001,128.291687,300
2006-11-09,140.520004,141.580002,140.520004,141.210007,129.298904,1600
2006-11-10,141.490005,141.679993,141.360001,141.360001,129.436218,2100
2006-11-13,141.229996,141.229996,141.000000,141.070007,129.170685,1200
2006-11-14,141.720001,141.740005,141.479996,141.610001,129.665085,700
2006-11-15,141.130005,141.809998,141.130005,141.809998,129.848358,800
2006-11-16,141.679993,141.820007,141.429993,141.660004,129.710907,6200
2006-11-17,141.889999,141.889999,141.330002,141.449997,129.518585,3200
2006-11-20,141.440002,141.440002,140.970001,140.970001,129.079102,3800
2006-11-21,140.789993,141.000000,140.789993,141.000000,129.106598,1300
2006-11-22,142.539993,143.050003,142.539993,142.960007,130.901276,1600
2006-11-24,144.910004,145.139999,144.910004,144.960007,132.732590,600
2006-11-27,145.309998,145.580002,145.300003,145.440002,133.172119,18600
2006-11-28,145.330002,145.639999,144.990005,145.529999,133.254501,1500
2006-11-29,145.479996,145.479996,144.910004,145.110001,132.869827,600
2006-11-30,145.990005,146.699997,145.979996,146.309998,133.968643,7700
2006-12-01,146.759995,148.039993,146.759995,147.750000,135.509476,20200
2006-12-04,147.509995,147.910004,147.350006,147.589996,135.362747,7900
2006-12-05,147.320007,147.570007,146.539993,147.490005,135.271057,3400
2006-12-06,146.580002,147.130005,146.580002,146.610001,134.463913,2000
2006-12-07,147.179993,147.350006,146.979996,146.979996,134.803207,2000
2006-12-08,147.550003,147.550003,145.669998,145.690002,133.620132,6700
2006-12-11,145.690002,146.139999,145.690002,146.139999,134.032837,1000
2006-12-12,146.789993,147.289993,146.789993,147.220001,135.023438,1700
2006-12-13,146.199997,146.449997,145.960007,146.399994,134.271362,1800
2006-12-14,145.800003,145.800003,145.270004,145.399994,133.354172,3100
2006-12-15,145.500000,145.500000,144.500000,144.589996,132.611328,2400
2006-12-18,144.759995,144.929993,144.539993,144.929993,132.923080,600
2006-12-19,145.889999,146.839996,145.860001,146.559998,134.418045,5900
2006-12-20,147.000000,147.000000,146.270004,146.679993,134.528152,1500
2006-12-21,146.880005,147.169998,146.880005,146.979996,134.803207,700
2006-12-22,146.550003,146.550003,145.899994,146.119995,134.014542,2700
2006-12-26,146.139999,146.139999,145.320007,145.320007,133.280838,500
2006-12-27,145.880005,145.990005,145.259995,145.259995,133.225769,6200
2006-12-28,146.169998,146.169998,145.470001,145.520004,133.464233,4600
2006-12-29,146.070007,146.539993,145.979996,146.279999,134.161331,3100
2007-01-03,146.750000,146.750000,145.740005,145.740005,133.890244,600
2007-01-04,145.000000,145.000000,144.020004,144.050003,132.337631,1800
2007-01-05,143.440002,143.589996,143.339996,143.589996,131.915009,1000
2007-01-08,143.550003,143.550003,142.960007,142.990005,131.363861,700
2007-01-09,142.910004,142.910004,142.910004,142.910004,131.290375,400
2007-01-10,142.070007,142.070007,141.639999,141.639999,130.123581,1700
2007-01-11,141.880005,141.880005,140.940002,141.110001,129.636765,1500
2007-01-12,142.399994,142.399994,142.320007,142.320007,130.748276,300
2007-01-16,142.940002,142.940002,142.699997,142.750000,131.143372,1100
2007-01-17,142.449997,142.740005,141.949997,142.619995,131.023865,10200
2007-01-18,142.229996,142.339996,142.229996,142.339996,130.766678,1300
2007-01-19,142.210007,142.580002,142.210007,142.559998,130.968796,600
2007-01-22,142.000000,142.000000,142.000000,142.000000,130.454346,100
2007-01-23,140.520004,143.720001,140.520004,143.660004,131.979355,4400
2007-01-24,143.220001,143.220001,142.919998,142.929993,131.308701,1300
2007-01-25,143.270004,143.320007,142.710007,142.720001,131.115784,1800
2007-01-26,142.199997,142.399994,142.149994,142.300003,130.730011,1700
2007-01-29,143.520004,143.520004,143.520004,143.520004,131.850769,100
2007-01-30,143.610001,143.669998,143.550003,143.550003,131.878326,1400
2007-01-31,143.470001,144.169998,143.470001,144.169998,132.447845,300
2007-02-01,144.070007,144.250000,143.830002,143.830002,132.379776,600
2007-02-02,143.190002,143.190002,142.919998,143.169998,131.772278,800
2007-02-05,141.729996,141.750000,141.000000,141.710007,130.428635,25900
2007-02-06,141.789993,142.270004,141.789993,142.229996,130.907211,1500
2007-02-07,142.830002,142.929993,142.679993,142.889999,131.514648,4800
2007-02-08,143.500000,143.610001,143.500000,143.610001,132.177322,200
2007-02-09,143.009995,143.070007,142.759995,142.789993,131.422592,4000
2007-02-12,142.360001,142.360001,142.029999,142.029999,130.723068,700
2007-02-13,142.029999,142.600006,139.130005,142.570007,131.220062,7600
2007-02-14,143.000000,143.960007,143.000000,143.880005,132.425766,5000
2007-02-15,142.619995,142.619995,142.210007,142.320007,130.989960,2600
2007-02-16,141.740005,142.330002,141.740005,142.330002,130.999237,38900
2007-02-20,142.149994,142.149994,141.940002,142.059998,130.750702,19200
2007-02-21,141.220001,141.699997,141.220001,141.699997,130.419312,2000
2007-02-22,141.000000,141.619995,141.000000,141.300003,130.051254,800
2007-02-23,141.419998,142.020004,141.419998,141.779999,130.492966,54600
2007-02-26,142.080002,142.710007,142.080002,142.660004,131.302948,24400
2007-02-27,143.740005,143.919998,143.229996,143.270004,131.864426,6800
2007-02-28,142.529999,143.419998,142.529999,143.279999,131.873627,10400
2007-03-01,142.270004,142.270004,141.250000,141.789993,130.729446,2900
2007-03-02,141.619995,142.199997,141.520004,142.000000,130.923050,13600
2007-03-05,140.449997,140.940002,140.419998,140.669998,129.696747,28900
2007-03-06,141.210007,141.850006,141.169998,141.699997,130.646362,17200
2007-03-07,142.059998,142.490005,141.910004,142.309998,131.208847,3900
2007-03-08,141.500000,141.509995,140.970001,141.380005,130.351395,14600
2007-03-09,141.000000,141.279999,140.850006,141.000000,130.001053,7500
2007-03-12,141.699997,142.250000,141.699997,142.179993,131.088959,1800
2007-03-13,142.479996,142.619995,142.190002,142.190002,131.098206,1500
2007-03-14,142.080002,142.500000,142.020004,142.500000,131.384003,3400
2007-03-15,142.800003,143.210007,142.800003,143.139999,131.974075,2700
2007-03-16,144.110001,144.199997,143.509995,143.600006,132.398148,3700
2007-03-19,143.539993,143.539993,142.869995,143.309998,132.130814,35100
2007-03-20,143.610001,143.630005,143.210007,143.630005,132.425827,10300
2007-03-21,143.149994,144.139999,143.149994,144.139999,132.896118,2400
2007-03-22,143.889999,144.160004,143.350006,143.529999,132.333618,5200
2007-03-23,143.600006,143.850006,143.309998,143.360001,132.176910,2100
2007-03-26,143.289993,143.979996,143.289993,143.610001,132.407425,1800
2007-03-27,143.500000,143.750000,143.460007,143.750000,132.536560,3700
2007-03-28,143.220001,143.460007,142.949997,143.020004,131.863480,4200
2007-03-29,143.279999,143.539993,143.279999,143.509995,132.315216,1100
2007-03-30,142.919998,143.750000,141.779999,143.600006,132.398148,4900
2007-04-02,143.139999,143.240005,142.750000,142.830002,131.959305,1800
2007-04-03,142.720001,142.720001,142.699997,142.699997,131.839249,400
2007-04-04,143.000000,143.750000,142.990005,143.750000,132.809372,1200
2007-04-05,145.000000,145.149994,144.929993,145.029999,133.991959,1500
2007-04-09,144.419998,144.419998,144.419998,144.419998,133.428391,100
2007-04-10,145.190002,145.229996,145.100006,145.110001,134.065811,1800
2007-04-11,145.279999,145.309998,145.000000,145.000000,133.964218,1000
2007-04-12,145.699997,145.800003,145.630005,145.630005,134.546295,400
2007-04-13,146.009995,146.149994,145.419998,146.039993,134.925064,5300
2007-04-16,147.089996,147.399994,147.029999,147.250000,136.042938,2700
2007-04-17,147.440002,147.809998,147.440002,147.740005,136.495682,2100
2007-04-18,147.929993,147.929993,147.839996,147.839996,136.588028,900
2007-04-19,148.000000,148.240005,148.000000,148.059998,136.791321,8800
2007-04-20,148.160004,148.240005,148.070007,148.100006,136.828369,2600
2007-04-23,147.539993,148.160004,147.539993,147.880005,136.624985,23800
2007-04-24,147.770004,148.059998,147.750000,148.059998,136.791321,1700
2007-04-25,149.000000,149.440002,148.910004,149.149994,137.798340,1400
2007-04-26,149.000000,149.449997,147.479996,149.059998,137.715210,4700
2007-04-27,149.050003,149.809998,149.050003,149.809998,138.408112,1800
2007-04-30,149.830002,150.240005,149.550003,149.830002,138.426590,3200
2007-05-01,149.889999,149.910004,148.949997,148.970001,137.905426,7800
2007-05-02,148.649994,149.210007,148.649994,149.059998,137.988739,2900
2007-05-03,148.779999,148.779999,147.940002,147.940002,136.951981,2200
2007-05-04,148.850006,148.850006,148.229996,148.229996,137.220383,2100
2007-05-07,148.679993,148.839996,148.389999,148.389999,137.368469,2600
2007-05-08,147.699997,147.699997,147.490005,147.679993,136.711197,1000
2007-05-09,147.380005,147.380005,146.860001,146.880005,135.970581,700
2007-05-10,146.880005,146.880005,145.639999,146.169998,135.313354,5600
2007-05-11,146.410004,146.630005,146.330002,146.630005,135.739182,500
2007-05-14,146.860001,146.860001,146.860001,146.860001,135.952118,100
2007-05-15,148.000000,148.130005,148.000000,148.130005,137.127808,10100
2007-05-16,147.899994,147.899994,146.880005,146.880005,135.970581,4900
2007-05-17,146.869995,146.869995,146.350006,146.350006,135.480057,3700
2007-05-18,146.389999,146.949997,146.389999,146.949997,136.035507,15200
2007-05-21,146.070007,146.119995,145.960007,146.080002,135.230011,2400
2007-05-22,146.720001,146.770004,146.669998,146.669998,135.776245,5200
2007-05-23,147.020004,147.029999,146.429993,146.429993,135.554077,900
2007-05-24,146.630005,146.740005,146.250000,146.250000,135.387482,3000
2007-05-25,146.639999,146.639999,146.550003,146.589996,135.702103,1300
2007-05-29,146.250000,146.250000,145.210007,145.250000,134.461731,13500
2007-05-30,145.020004,145.020004,144.059998,144.440002,133.711884,14700
2007-05-31,144.830002,144.850006,144.800003,144.800003,134.045135,1700
2007-06-01,144.630005,144.630005,144.009995,144.289993,133.851273,4400
2007-06-04,144.610001,144.940002,144.570007,144.740005,134.268692,15800
2007-06-05,145.149994,145.389999,145.000000,145.130005,134.630463,20800
2007-06-06,144.710007,144.970001,144.710007,144.720001,134.250168,1500
2007-06-07,144.300003,144.339996,143.990005,144.309998,133.869781,800
2007-06-08,143.139999,143.160004,142.940002,142.940002,132.598953,2500
2007-06-11,143.300003,143.300003,142.779999,142.839996,132.506134,6800
2007-06-12,141.940002,141.979996,141.580002,141.740005,131.485718,1400
2007-06-13,141.410004,141.690002,141.190002,141.690002,131.439331,9200
2007-06-14,141.550003,141.550003,141.300003,141.300003,131.077545,300
2007-06-15,141.899994,142.149994,141.750000,142.149994,131.866043,4100
2007-06-18,142.300003,142.600006,142.300003,142.449997,132.144394,900
2007-06-19,142.759995,142.789993,142.580002,142.580002,132.264969,600
2007-06-20,144.759995,145.259995,144.690002,144.990005,134.500656,3500
2007-06-21,144.889999,145.339996,144.750000,145.339996,134.825287,500
2007-06-22,145.789993,145.880005,145.550003,145.880005,135.326218,1500
2007-06-25,145.809998,145.809998,145.429993,145.639999,135.103577,700
2007-06-26,145.250000,145.429993,145.250000,145.429993,134.908752,1500
2007-06-27,145.429993,145.710007,145.429993,145.710007,135.168549,1200
2007-06-28,146.000000,146.110001,146.000000,146.000000,135.437607,2300
2007-06-29,146.410004,146.410004,146.330002,146.410004,135.817902,400
2007-07-02,147.479996,147.490005,147.130005,147.130005,136.777313,2200
2007-07-03,147.669998,147.910004,147.500000,147.910004,137.502365,500
2007-07-05,147.910004,147.910004,147.910004,147.910004,137.502365,0
2007-07-06,148.449997,148.570007,148.449997,148.570007,138.115921,2100
2007-07-09,148.570007,148.570007,148.570007,148.570007,138.115921,0
2007-07-10,149.169998,149.740005,149.160004,149.279999,138.776016,1600
2007-07-11,150.520004,150.649994,150.039993,150.039993,139.482513,900
2007-07-12,150.500000,150.919998,150.419998,150.789993,140.179703,1300
2007-07-13,151.000000,151.160004,150.610001,150.610001,140.012405,5200
2007-07-16,150.970001,150.970001,150.679993,150.789993,140.179703,500
2007-07-17,150.770004,150.770004,150.309998,150.490005,139.900803,700
2007-07-18,150.529999,150.830002,150.419998,150.649994,140.049591,14400
2007-07-19,150.679993,150.809998,150.679993,150.679993,140.077454,300
2007-07-20,150.789993,151.199997,150.789993,150.949997,140.328461,2700
2007-07-23,150.970001,150.970001,150.470001,150.470001,139.882233,1200
2007-07-24,150.690002,150.690002,150.309998,150.309998,139.733505,1500
2007-07-25,149.380005,149.380005,149.029999,149.029999,138.543579,1100
2007-07-26,148.669998,148.960007,148.660004,148.770004,138.301849,5500
2007-07-27,148.679993,148.699997,148.679993,148.699997,138.236786,300
2007-07-30,149.029999,149.339996,149.029999,149.289993,138.785217,2200
2007-07-31,149.399994,149.399994,148.789993,148.789993,138.320480,1800
2007-08-01,147.850006,148.380005,147.660004,147.750000,137.665466,69300
2007-08-02,148.039993,148.660004,148.039993,148.660004,138.513336,3700
2007-08-03,149.250000,149.360001,149.080002,149.080002,138.904648,1600
2007-08-06,149.800003,149.800003,149.350006,149.660004,139.445084,3200
2007-08-07,149.119995,149.119995,148.669998,148.839996,138.680984,1200
2007-08-08,149.720001,149.720001,149.240005,149.279999,139.091003,700
2007-08-09,147.850006,148.130005,147.639999,147.639999,137.562912,1000
2007-08-10,147.350006,147.720001,147.190002,147.720001,137.637497,2400
2007-08-13,146.860001,146.860001,146.210007,146.289993,136.305130,2900
2007-08-14,145.649994,145.690002,145.649994,145.660004,135.718140,1400
2007-08-15,143.839996,144.160004,143.789993,143.940002,134.115448,2100
2007-08-16,142.910004,143.240005,142.570007,143.080002,133.314194,5200
2007-08-17,145.630005,145.630005,144.660004,144.660004,134.786362,4400
2007-08-20,144.630005,144.630005,144.320007,144.339996,134.488144,1200
2007-08-21,143.970001,143.970001,143.570007,143.690002,133.882538,1500
2007-08-22,144.229996,144.720001,144.229996,144.639999,134.767715,1300
2007-08-23,144.789993,144.949997,144.770004,144.949997,135.056580,2300
2007-08-24,145.899994,146.639999,145.779999,146.350006,136.360992,800
2007-08-27,145.970001,146.080002,145.660004,145.960007,135.997589,1900
2007-08-28,145.710007,145.710007,145.449997,145.449997,135.522415,200
2007-08-29,145.600006,145.610001,145.600006,145.600006,135.662231,1600
2007-08-30,145.580002,145.600006,145.539993,145.539993,135.606216,800
2007-08-31,145.500000,145.669998,145.500000,145.639999,135.699478,2200
2007-09-04,144.630005,144.830002,144.570007,144.830002,135.245590,1400
2007-09-05,144.630005,145.460007,144.630005,145.460007,135.834000,3200
2007-09-06,146.600006,146.669998,146.600006,146.639999,136.935852,10500
2007-09-07,147.250000,147.399994,147.130005,147.130005,137.393494,1800
2007-09-10,147.830002,147.830002,147.559998,147.699997,137.925674,800
2007-09-11,148.410004,148.529999,148.350006,148.509995,138.682068,2400
2007-09-12,149.449997,150.190002,149.449997,150.160004,140.222855,3200
2007-09-13,150.089996,150.320007,149.979996,150.190002,140.250946,3100
2007-09-14,149.860001,150.100006,149.750000,150.100006,140.166870,2500
2007-09-17,149.759995,149.759995,149.539993,149.539993,139.643875,400
2007-09-18,149.610001,151.350006,149.600006,151.350006,141.334198,2400
2007-09-19,151.360001,151.830002,150.990005,151.600006,141.567581,16100
2007-09-20,152.720001,153.300003,152.710007,153.199997,143.061707,13300
2007-09-21,153.350006,153.729996,153.350006,153.660004,143.491318,6600
2007-09-24,153.960007,154.059998,153.830002,153.830002,143.650009,11700
2007-09-25,153.800003,154.190002,153.779999,154.169998,143.967545,8300
2007-09-26,153.399994,153.669998,152.639999,153.289993,143.145737,10600
2007-09-27,153.929993,154.000000,153.839996,154.000000,143.808777,900
2007-09-28,155.009995,155.860001,155.000000,155.649994,145.349594,4600
2007-10-01,154.889999,155.369995,154.889999,155.119995,145.192291,10700
2007-10-02,153.699997,153.759995,153.479996,153.479996,143.657288,2700
2007-10-03,154.660004,154.660004,153.649994,153.649994,143.816391,3400
2007-10-04,153.080002,153.970001,153.080002,153.759995,143.919388,3000
2007-10-05,154.580002,154.919998,154.500000,154.860001,144.948990,5300
2007-10-08,154.070007,154.080002,153.479996,153.490005,143.666656,1700
2007-10-09,153.429993,154.309998,153.229996,154.279999,144.406158,3400
2007-10-10,154.899994,155.119995,154.899994,155.119995,145.192291,2000
2007-10-11,155.960007,156.600006,155.729996,155.880005,145.903717,4700
2007-10-12,155.869995,156.070007,155.789993,156.070007,146.081558,5900
2007-10-15,156.630005,156.770004,155.880005,156.000000,146.016068,2800
2007-10-16,155.190002,155.190002,154.800003,154.960007,145.042572,2600
2007-10-17,155.770004,155.770004,155.100006,155.289993,145.351395,1800
2007-10-18,156.419998,156.610001,156.300003,156.330002,146.324860,1000
