Date,Open,High,Low,Close,Adj Close,Volume
2008-03-18,40.360001,40.389999,40.360001,40.389999,40.389999,1600
2008-03-19,40.389999,40.400002,40.360001,40.360001,40.360001,5300
2008-03-20,40.360001,40.360001,40.360001,40.360001,40.360001,100
2008-03-24,40.650002,40.650002,40.650002,40.650002,40.650002,200
2008-03-25,40.700001,40.700001,40.630001,40.630001,40.630001,1100
2008-03-26,40.720001,40.720001,40.720001,40.720001,40.720001,1100
2008-03-27,40.830002,40.880001,40.810001,40.820000,40.820000,14500
2008-03-28,41.169998,41.200001,41.119999,41.200001,41.200001,17300
2008-03-31,40.900002,40.900002,40.880001,40.880001,40.880001,17000
2008-04-01,40.880001,40.880001,40.880001,40.880001,40.880001,0
2008-04-02,41.270000,41.270000,41.270000,41.270000,41.270000,100
2008-04-03,40.970001,41.080002,40.970001,41.080002,41.080002,200
2008-04-04,41.020000,41.049999,41.020000,41.049999,41.049999,400
2008-04-07,41.029999,41.029999,41.029999,41.029999,41.029999,1700
2008-04-08,40.959999,40.990002,40.959999,40.990002,40.990002,600
2008-04-09,41.000000,41.040001,41.000000,41.040001,41.040001,4600
2008-04-10,41.049999,41.119999,41.029999,41.080002,41.080002,2500
2008-04-11,41.150002,41.150002,41.139999,41.139999,41.139999,200
2008-04-14,41.119999,41.119999,41.070000,41.119999,41.119999,5600
2008-04-15,41.119999,41.119999,40.950001,41.070000,41.070000,2400
2008-04-16,41.150002,41.150002,41.150002,41.150002,41.150002,200
2008-04-17,41.230000,41.320000,41.230000,41.320000,41.320000,4000
2008-04-18,41.169998,41.200001,41.169998,41.200001,41.200001,900
2008-04-21,41.119999,41.119999,41.090000,41.090000,41.090000,1500
2008-04-22,41.060001,41.070000,41.060001,41.070000,41.070000,5700
2008-04-23,40.889999,40.919998,40.889999,40.910000,40.910000,6100
2008-04-24,40.799999,40.799999,40.770000,40.770000,40.770000,600
2008-04-25,40.779999,40.860001,40.759998,40.799999,40.799999,1700
2008-04-28,40.740002,40.740002,40.689999,40.709999,40.709999,1800
2008-04-29,40.540001,40.540001,40.490002,40.490002,40.490002,600
2008-04-30,40.419998,40.419998,40.419998,40.419998,40.419998,400
2008-05-01,40.349998,40.430000,40.270000,40.430000,40.430000,600
2008-05-02,40.220001,40.220001,40.220001,40.220001,40.220001,100
2008-05-05,40.400002,40.400002,40.400002,40.400002,40.400002,2000
2008-05-06,40.020000,40.040001,40.020000,40.040001,40.040001,2600
2008-05-07,39.590000,39.590000,39.430000,39.459999,39.459999,2800
2008-05-08,39.230000,39.279999,39.209999,39.279999,39.279999,700
2008-05-09,39.509998,39.520000,39.439999,39.439999,39.439999,300
2008-05-12,39.040001,39.040001,38.990002,38.990002,38.990002,900
2008-05-13,38.910000,38.919998,38.869999,38.869999,38.869999,600
2008-05-14,38.639999,38.700001,38.639999,38.689999,38.689999,2400
2008-05-15,38.540001,38.660000,38.540001,38.599998,38.599998,4000
2008-05-16,38.849998,38.889999,38.849998,38.880001,38.880001,1400
2008-05-19,38.880001,38.880001,38.880001,38.880001,38.880001,0
2008-05-20,38.610001,38.610001,38.500000,38.500000,38.500000,900
2008-05-21,38.369999,38.369999,38.279999,38.320000,38.320000,1200
2008-05-22,38.259998,38.380001,38.180000,38.380001,38.380001,700
2008-05-23,38.549999,38.549999,38.490002,38.490002,38.490002,4500
2008-05-27,38.310001,38.310001,38.310001,38.310001,38.310001,800
2008-05-28,38.520000,38.520000,38.419998,38.419998,38.419998,2700
2008-05-29,38.650002,38.650002,38.599998,38.610001,38.610001,1300
2008-05-30,38.860001,38.860001,38.860001,38.860001,38.860001,200
2008-06-02,38.799999,38.799999,38.799999,38.799999,38.799999,500
2008-06-03,38.540001,38.540001,38.540001,38.540001,38.540001,300
2008-06-04,38.299999,38.299999,38.299999,38.299999,38.299999,100
